qubits	depth	max_operand	time
8	5	4	0.025583219
8	5	4	0.03062366
8	5	4	0.024885133
8	20	1	0.005502613
8	20	1	0.004689063
8	20	1	0.015688229
8	20	1	0.003705695
8	20	1	0.014619167
8	20	2	0.039229736
8	20	2	0.038277243
8	20	2	0.041435767
8	20	2	0.037876946
8	20	2	0.04956598
8	20	3	0.037505863
8	20	3	0.037175145
8	20	3	0.036574922
8	20	3	0.039310964
8	20	3	0.039603174
8	20	4	0.038510642
8	20	4	0.047523706
8	20	4	0.047347546
8	20	4	0.044587105
8	20	4	0.037272369
8	35	1	0.004570121
8	35	1	0.002127529
8	35	1	0.002163878
8	35	1	0.004402666
8	35	1	0.003003899
8	35	2	0.040826409
8	35	2	0.039790569
8	35	2	0.040279112
8	35	2	0.04333112
8	35	2	0.040481242
8	35	3	0.039626364
8	35	3	0.041817971
8	35	3	0.040786771
8	35	3	0.040514528
8	35	3	0.051968442
8	35	4	0.051429511
8	35	4	0.029335091
8	35	4	0.041200899
8	35	4	0.030686895
8	35	4	0.041226273
8	50	1	0.006962875
8	50	1	0.003134149
8	50	1	0.003080024
8	50	1	0.003999765
8	50	1	0.002382602
8	50	2	0.053961546
8	50	2	0.042894284
8	50	2	0.032673417
8	50	2	0.043353682
8	50	2	0.053873213
8	50	3	0.047978081
8	50	3	0.032100335
8	50	3	0.044408287
8	50	3	0.03467929
8	50	3	0.043813972
8	50	4	0.03960489
8	50	4	0.048746647
8	50	4	0.051599947
8	50	4	0.043754409
8	50	4	0.046272925
9	5	1	0.003652015
9	5	1	0.004888739
9	5	1	0.005141239
9	5	1	0.00554668
9	5	1	0.004133793
9	5	2	0.040384499
9	5	2	0.046312705
9	5	2	0.040724147
9	5	2	0.044979875
9	5	2	0.041973578
9	5	3	0.042483505
9	5	3	0.041209369
9	5	3	0.041774488
9	5	3	0.031374706
9	5	3	0.035745678
9	5	4	0.032724089
9	5	4	0.036599021
9	5	4	0.050457605
9	5	4	0.042019652
9	5	4	0.031670236
9	20	1	0.003806176
9	20	1	0.004039477
9	20	1	0.003779448
9	20	1	0.005095419
9	20	1	0.002470855
9	20	2	0.048475617
9	20	2	0.049661573
9	20	2	0.050372568
9	20	2	0.049662077
9	20	2	0.046656053
9	20	3	0.04878026
9	20	3	0.050335778
9	20	3	0.057987868
9	20	3	0.046390473
9	20	3	0.048417909
9	20	4	0.041996286
9	20	4	0.046791463
9	20	4	0.052872172
9	20	4	0.044636823
9	20	4	0.054424259
9	35	1	0.004601947
9	35	1	0.00238649
