qubits	depth	T_gates	time
16	50	6	13.131796382
16	50	6	19.361435474
16	50	6	25.834379715
16	50	8	41.067138208
16	50	8	16.685017406
16	50	8	41.232862103
16	50	8	29.238554377
16	50	8	18.958685674
16	50	10	58.418062043
16	50	10	40.230578808
16	50	10	40.110833774
16	50	10	44.02353234
16	50	10	55.740806879
20	5	0	3.269625855
20	5	0	3.22943493
20	5	0	4.206264126
20	5	0	3.165813515
20	5	0	3.031801773
20	5	2	4.141062846
20	5	2	4.22816335
20	5	2	4.6059041
20	5	2	6.131043014
20	5	2	4.261403244
20	5	4	7.600176165
20	5	4	4.573591487
20	5	4	7.309405465
20	5	4	5.442572092
20	5	4	11.210521399
20	5	6	14.024341975
20	5	6	7.60075875
20	5	6	8.211336457
20	5	6	13.377181555
20	5	6	9.642870359
20	5	8	11.187972304
20	5	8	14.622830961
20	5	8	10.861533778
20	5	8	14.830457577
20	5	8	19.123632359
20	5	10	15.076302717
20	5	10	21.740143568
20	5	10	15.593938881
20	5	10	24.039388457
20	5	10	9.417893988
20	20	0	4.977924143
20	20	0	6.146620313
20	20	0	8.540883955
20	20	0	8.873100547
20	20	0	6.989433349
20	20	2	8.547665043
20	20	2	7.718430008
20	20	2	9.100519486
20	20	2	7.15044786
20	20	2	4.868922662
20	20	4	15.103822858
20	20	4	9.600336389
20	20	4	16.093062781
20	20	4	12.675708332
20	20	4	12.645812156
20	20	6	24.755216797
20	20	6	18.354874415
20	20	6	20.257022217
20	20	6	22.198551125
20	20	6	20.497091143
20	20	8	34.256829812
20	20	8	24.713048006
20	20	8	28.344997671
20	20	8	19.178087007
20	20	8	20.842671623
20	20	10	38.514453177
20	20	10	18.204439798
20	20	10	31.833390044
20	20	10	38.651244362
20	20	10	36.323962956
20	35	0	4.007615537
20	35	0	8.690036845
20	35	0	9.814682923
20	35	0	5.901832177
20	35	0	5.012469832
20	35	2	11.421551252
20	35	2	10.610017982
20	35	2	9.015487541
20	35	2	6.194973782
20	35	2	10.362369467
20	35	4	18.668128041
20	35	4	16.670453207
20	35	4	17.011110195
20	35	4	15.120078571
20	35	4	17.048029858
20	35	6	24.506008915
20	35	6	18.074556963
20	35	6	24.633339233
20	35	6	24.578149862
20	35	6	15.712065469
20	35	8	36.138028382
20	35	8	43.442562099
20	35	8	44.294051615
20	35	8	40.224030805
20	35	8	44.037492667
20	35	10	45.540559604
20	35	10	45.197453885
20	35	10	53.933946051
20	35	10	56.37322939
20	35	10	53.176848573
20	50	0	8.070277156
20	50	0	6.085323165
20	50	0	7.989554588
20	50	0	9.58363179
20	50	0	9.414238887
20	50	2	13.566175994
20	50	2	9.899094127
20	50	2	7.379484463
20	50	2	13.911401178
20	50	2	13.757458945
20	50	4	19.00325933
20	50	4	15.754096354
20	50	4	16.307653558
20	50	4	12.503512514
20	50	4	16.053741912
20	50	6	18.596080552
20	50	6	24.095290592
20	50	6	23.556814048
20	50	6	27.104288398
20	50	6	27.009228138
20	50	8	27.696122882
20	50	8	42.57041065
20	50	8	49.815980117
20	50	8	47.597010109
20	50	8	41.24217095
20	50	10	66.396523798
20	50	10	55.274880285
20	50	10	44.115048615
20	50	10	62.918934281
20	50	10	63.511332081
